"team","teamscore","homescore","offense","defense","offhomeadv","defhomeadv","week"
"317","SELA",-0.5,-1,3.3,-3.7,0,-0.2,12
"318","AR",-0.7,-1,-1.6,0.9,2.8,-6.2,12
"319","CAR",-0.8,-2,-0.4,-0.4,-0.2,0.1,12
"320","CUSE",-1.1,-2,-3.4,2.3,6.5,-3.4,12
"321","ALB",-1.2,-2,-2.4,1.2,6.6,4.4,12
"322","TOWSON",-1.3,-3,-3,1.7,-0.5,-0.3,12
"323","NIL",-1.4,-3,-0.2,-1.2,0.9,8.6,12
"324","NTX",-1.4,-3,2,-3.4,6.9,1.3,12
"325","WOFF",-1.4,-3,3.5,-4.9,0.3,0.1,12
"326","ECARO",-2,-4,0.7,-2.7,2,1.1,12
"327","LIB",-2,-4,-0.1,-1.9,1.7,3.4,12
"328","MIOH",-2,-4,-0.6,-1.4,5.7,8.8,12
"329","MIDTN",-2.2,-4,-2,-0.2,7.8,3.1,12
"330","CO",-2.4,-5,-3.6,1.2,8.7,-0.2,12
"331","GAT",-2.4,-5,-4.7,2.3,-4.1,0.8,12
"332","SOUTHERN",-2.6,-5,3.4,-6.1,-0.3,-0.4,12
"333","WMI",-2.7,-5,2.5,-5.2,7.6,14.1,12
"334","CITD",-2.9,-6,-0.8,-2.2,0.1,-0.1,12
"335","COS",-2.9,-6,2.7,-5.6,-1.3,4.4,12
"336","ILS",-2.9,-6,-5.4,2.5,0.1,0.1,12
"337","TROY",-3,-6,2.4,-5.5,7.3,-1.3,12
"338","NH",-3.1,-6,-2.1,-1,-0.2,-0.2,12
"339","SACS",-3.3,-7,-7.1,3.8,-0.4,-0.4,12
"340","SIL",-3.5,-7,-2.3,-1.2,-0.2,0,12
"341","CHARL",-3.6,-7,3.9,-7.5,1.9,3.3,12
"342","ME",-3.9,-8,6.7,-10.6,0.2,0.6,12
"343","INS",-4,-8,-4.9,0.9,0.2,0.3,12
"344","JMAD",-4,-8,-7.7,3.7,-0.4,0.2,12
"345","ARPB",-4.1,-8,-3.1,-1,0,-0.2,12
"346","TNM",-4.2,-8,-2.8,-1.4,0.2,0.2,12
"347","OLD",-4.5,-9,-6.3,1.8,-6.6,0.4,12
"348","RICE",-4.6,-9,-6.4,1.8,-3.8,1.3,12
"349","CCTS",-4.9,-10,-0.8,-4.1,0.2,-0.3,12
"350","KENT",-4.9,-10,-0.5,-4.4,3.7,4.3,12
"351","NWST",-5.2,-10,0.7,-5.9,0.2,-0.5,12
"352","EW",-5.3,-11,-1.2,-4,-0.3,0.1,12
